-,rsFC (fisher z),rsFC,rsFC,rsFC,BOLD (beta value),BOLD,BOLD,BOLD
subject,IPL TMS; L-Hippo,IPL TMS; R-Hippo,M1 TMS; L-Hippo,M1 TMS; R-Hippo,IPL TMS; L-Hippo,IPL TMS; R-Hippo,M1 TMS; L-Hippo,M1 TMS; R-Hippo
sub-1001,0.11472098,-0.109181637,0.065750814,0.219534678,NaN,NaN,-0.2658119,0.27593246
sub-1009,0.102685403,0.136253926,0.118523545,0.027260615,NaN,NaN,-1.0480847,-0.5955142
sub-1015,-0.179647161,-0.058126868,0.291793599,0.389611822,NaN,NaN,0.76248455,0.5272145
sub-1016,-0.328992481,-0.358374227,0.147903214,0.205335933,NaN,NaN,0.36161396,0.29201308
sub-1019,-0.246052653,-0.201352534,0.06084207,-0.101887227,NaN,NaN,-0.106247015,-0.13451116
sub-1021,-0.068924594,-0.07179844,0.433445676,0.436594908,NaN,NaN,-0.5092076,-0.4459292
sub-1022,0.204446483,0.275777895,-0.128069688,0.040052996,NaN,NaN,-0.5207809,-0.60257226
sub-1023,0.085595415,0.029998019,0.059929094,0.111204878,NaN,NaN,-0.73112726,-1.0120544
sub-1024,-0.176890934,-0.101945068,-0.34192046,0.059211927,NaN,NaN,1.2348413,1.4826493
sub-1026,-0.419384411,-0.477962331,0.197514985,0.171194688,NaN,NaN,-0.5308137,-0.26201907
sub-1027,-0.441249846,-0.542334389,0.423812148,0.401683193,NaN,NaN,0.7442906,0.73195714
sub-1028,-0.067831239,-0.151711126,0.695617242,0.606021149,NaN,NaN,0.13503112,-0.22311758
sub-1029,-0.052872429,-0.01575706,0.244200574,0.211019788,NaN,NaN,-0.18235272,-0.8444284
sub-1032,-0.221781734,-0.253573825,0.214243944,0.467020242,NaN,NaN,0.9710589,0.95297307
sub-1036,-0.368271882,-0.345304675,0.038263404,0.023208361,-1.4166942,-2.0190775,0.8476113,0.45900407
sub-1037,-0.239682547,-0.213375232,0.000140972,-0.01462065,-0.15483126,0.18547828,0.08942939,-0.21791193
sub-1038,-0.153262453,-0.085141804,0.086243866,0.016332923,-0.045326985,0.036939383,-0.38412273,-0.03186296
sub-1039,-0.095065993,-0.07537734,-0.041836888,0.090899042,-0.062327415,1.8713793,-0.7110721,-0.9840256
sub-1040,-0.141566414,-0.143551607,-0.076430541,-0.108295173,-0.124807015,-0.17032222,0.12957577,0.09850437
sub-1043,-0.345761343,-0.305775797,0.229571864,0.238111464,-0.33341682,-0.21226224,-0.5366822,-1.4541312
sub-1047,-0.266276834,-0.070980382,0.219217462,0.300443117,-0.30030355,-0.010984976,0.08250669,0.89642584
sub-1049,0.321964347,0.39003456,-0.182819985,-0.123785049,-0.8839736,-1.5034035,-0.33276784,0.5300517
sub-1050,-0.052784643,0.297130872,-0.212641292,0.010757139,0.4897709,0.8627245,0.9388093,0.48123264
sub-1052,-0.027599108,0.129080434,0.208197629,0.322825838,-0.42635387,-0.16021895,-0.60593367,-0.12542817
sub-1053,-0.245843174,-0.191972888,0.14667049,0.174757755,NaN,NaN,-1.232693,-0.5326922
sub-1055,-0.312670295,-0.206393611,-0.043851647,-0.001268959,-0.32454622,-0.09574414,-0.8015656,-0.80555266
sub-1056,-0.088436598,0.019454792,0.192599239,0.051969753,-0.63315326,-0.5317195,0.4550581,0.03266708
sub-1057,-0.283933077,-0.263617814,-0.026277065,0.080181168,-0.2011419,-0.22978142,-0.2574267,0.2517375
sub-1061,-0.115024131,-0.205108241,0.060028923,0.123332582,-0.9783323,-1.4491284,0.4569006,-0.25140086
sub-1062,-0.152713209,-0.079460943,0.289415283,0.316494285,0.082129195,-0.14662229,-0.35297865,1.0316386
sub-1064,-0.233455233,-0.214004166,-0.034144066,-0.012840803,0.31574422,-0.101029485,-0.87048554,-0.92386883
